"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.weight","p.GS.weight","MM.brown","p.MM.brown","MM.red","p.MM.red","MM.salmon","p.MM.salmon","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.tan","p.MM.tan","MM.yellow","p.MM.yellow","MM.midnightblue","p.MM.midnightblue","MM.cyan","p.MM.cyan","MM.lightcyan","p.MM.lightcyan","MM.grey","p.MM.grey","MM.lightgreen","p.MM.lightgreen","MM.pink","p.MM.pink","MM.greenyellow","p.MM.greenyellow","MM.purple","p.MM.purple","MM.magenta","p.MM.magenta","MM.grey60","p.MM.grey60","MM.green","p.MM.green"
"MMT00058222","MMT00058222","C820005L12Rik",239393,"brown",0.440684749450744,9.88650012801276e-08,0.564136532164862,1.26478248682849e-12,0.408633103034243,9.50207752725979e-07,0.256047497352034,0.00282522863690645,0.316836690774941,0.000191590758578592,-0.341822838048499,5.29370977259221e-05,-0.293663407267049,0.000573587599288505,0.468142135523191,1.17160525187827e-08,0.346167199363033,4.18464602927911e-05,0.228478703119972,0.00792445563689567,0.191274965748715,0.0268351858709391,-0.303722897282558,0.000360312354804637,0.159273765881029,0.0660319577665271,0.00875071776707904,0.920066634906752,-0.0846072634027774,0.33106628813781,-0.0544685758789295,0.531920834491667,0.0552084505913528,0.52635485558353,-0.117238167475822,0.177313611169654,-0.102510721577029,0.238542361932132,-0.0674075385801923,0.439008211485863
"MMT00018085","MMT00018085","C1qr1",17064,"brown",0.440583335193473,9.96127148379949e-08,0.81698443862915,2.33563787716883e-33,0.574574423734262,3.89282285476277e-13,0.318083294563251,0.000180150183225605,0.610368023971303,4.90006205658626e-15,-0.171901716602715,0.0470251646157584,-0.0572793033678971,0.510934057259663,-0.188275189833226,0.0293653961188349,-0.086715019273327,0.31911761017507,-0.0636054921180003,0.465311606071606,-0.022551323736974,0.795914829438399,0.0677979741653716,0.436355761940216,0.0082534038262516,0.924595547577322,-0.0507674414748311,0.560199140539997,0.0370709591895913,0.670652058113754,-0.090674516237379,0.297435824764178,-0.327249287659156,0.000113610331701639,0.0474442352805759,0.586188185761463,-0.159492088252386,0.065656868211411,0.0170986911097495,0.844538439111764
"MMT00018071","MMT00018071","Tek",21687,"brown",0.440484764588439,1.00344645596824e-07,0.674083315782413,4.39166466483719e-19,0.335961516677261,7.23007481774369e-05,0.45486876908983,3.36307086051944e-08,0.198186418164448,0.0217045417173763,-0.279036017426939,0.00109497290886786,-0.166141989488899,0.0550386882347696,0.173636351874673,0.0448111173592974,0.163660056794176,0.058822996407351,0.0399820815903918,0.646468657531839,0.148238881282953,0.0873824023891679,-0.135572417120849,0.118315903885106,0.167805524002392,0.0526163239371428,-0.0161191238639674,0.85334179658802,-0.0608779674802819,0.48470221117075,-0.0105315187711519,0.903871354421207,-0.157846439551736,0.0685274003848903,-0.0112559519001971,0.897293998470791,-0.145156501401241,0.0942404887239789,-0.103425392418941,0.234356596325658
"MMT00021004","MMT00021004","Xbp1",22433,"brown",-0.439798984150966,1.05581163574759e-07,-0.560875047025377,1.8124993080268e-12,-0.462236582562095,1.88339312199592e-08,-0.185250013631932,0.0321197116281596,-0.328852498288973,0.000104650200808555,0.0313622293079721,0.719048053026344,0.29226807881177,0.000610991942400134,0.076470246417391,0.379834791901024,0.183303898772956,0.0340048615425573,0.0109684600103017,0.89990341814621,-0.0422687905417149,0.627726424192557,0.00390964436903323,0.964239963769686,-0.164318640335266,0.0577985927022433,0.0588122301077193,0.499671178461443,-0.284688574920298,0.000856378124891295,0.00580703900393402,0.946906417732721,0.0477338074647121,0.583901756611196,0.0571979455532111,0.511535460726231,-0.0695409684726029,0.424626561754289,0.0613599521026573,0.481244495890301
"MMT00074523","MMT00074523","Pdlim2",213019,"brown",0.439329430343373,1.09316310634535e-07,0.652412718553974,1.3430025968261e-17,0.45240855258949,4.06909894727798e-08,0.0765729737110603,0.379193128666627,0.499813612019521,7.83321522216305e-10,-0.18352977820427,0.0337813693654983,-0.187238553616497,0.0302856853901565,0.0391338033279735,0.653478900361169,-0.103876576679967,0.232310918712261,0.173199441254174,0.0453604233700492,0.281134676467969,0.00100007564017171,0.0278853190927354,0.749094204576855,0.0999686030921065,0.250448711011631,-0.143002769719386,0.0992806003366824,0.068705189167024,0.430227920532506,-0.0826920508757486,0.342168244816381,-0.185736105642641,0.0316629155482558,0.00752554357527175,0.931228305245802,0.159009487112949,0.0664883363852474,0.0466418851880535,0.592544796403127
"MMT00078486","MMT00078486","Crat",12908,"brown",0.438880567355066,1.13004803937429e-07,0.561212935264281,1.74649848371835e-12,0.348118794010698,3.76097641893827e-05,0.144854375121944,0.0949350363124374,0.326618901526574,0.000117325491978979,-0.0324322324922804,0.709884764897465,0.161383136744537,0.0624800831065679,-0.24591859799757,0.00418111063058896,0.0234075480917626,0.788345105976248,0.0686286965689467,0.430742680199737,-0.214564780080795,0.0127899956256969,0.328943650234533,0.000104161119595447,-0.101974505709112,0.241020333868139,-0.112743141308739,0.194628178281804,-0.220436375092204,0.0104855077704651,-0.00714645294888028,0.934684736892213,-0.378193812154336,6.62503837521463e-06,-0.0491487544262015,0.572788989355963,-0.109937614321343,0.206038437700596,0.310856255287115,0.00025647406290804
"MMT00040496","MMT00040496","Cyp2c40",13099,"brown",-0.437128394038738,1.2857503803752e-07,-0.501387123686052,6.79816444868346e-10,-0.432495630368453,1.80246847146583e-07,-0.137691048269766,0.112620741258942,-0.284109721777396,0.000878411826057491,0.0391670295621531,0.653203741139235,-0.181821081811806,0.035503246244357,0.187993819151322,0.0296128043129204,-0.0264584927614951,0.761537105947663,-0.0308204723811515,0.723702915492044,0.0645012981512394,0.459037385667902,-0.266295341118346,0.00187043500278364,0.0439414646794227,0.614164827506387,0.141128729693075,0.10383708104481,0.226796778751674,0.00840883535859745,0.0776335137682027,0.372607300009174,0.396318520379444,2.13372672915734e-06,-0.029608866116107,0.734149638295131,0.178030606890963,0.0395885308673125,-0.198402227975627,0.021558970295916
"MMT00077244","MMT00077244","mKIAA1236",238403,"brown",0.435948058920199,1.40198479192432e-07,0.665923468987856,1.64624795683701e-18,0.365690030325311,1.39289573463144e-05,0.247828567246084,0.00388777318785558,0.41451730481201,6.38157720582665e-07,0.0168674710548152,0.846614722936928,0.0086317956528525,0.921149400992397,-0.181222069221434,0.0361241458582885,-0.212446809980393,0.0137239177696399,0.117514275696806,0.176288284765366,0.14784596211426,0.0882338194352486,0.244194632050328,0.00446276276456134,-0.0255199782386805,0.76975518031896,-0.00743530612677034,0.93205094868816,-0.0212747300789653,0.807236101959934,-0.103745094632944,0.232905762854986,-0.392786738298585,2.67500219742715e-06,0.116309801010379,0.180793294408699,-0.0621724160775454,0.475446125436672,0.159044112992061,0.066428395721887
"MMT00025256","MMT00025256","Gmpr",66355,"brown",0.431627734036937,1.91915544450635e-07,0.746003438588174,4.56202078626799e-25,0.451554390130251,4.34590418105597e-08,0.345629654347855,4.30897380096428e-05,0.487560928237416,2.30505419332375e-09,-0.261274248374291,0.00229389560533905,0.083305585028813,0.338586412689646,0.00670689858648489,0.938693978386656,0.193431716661243,0.0251331711589969,0.0532761430483222,0.540952954895505,-0.0314974745469772,0.71788760171737,-0.0241823969515006,0.78151177733029,0.0487461718948248,0.575940691120244,-0.102231221657356,0.239831765858507,-0.287244857262004,0.000765004805037945,0.104222719263373,0.230750018011595,-0.356846440865952,2.31317989151465e-05,0.0125602256450688,0.885469953278223,-0.131800555953074,0.129004712997244,0.103195380885302,0.235404313715121
"MMT00052337","MMT00052337","Rgs5",19737,"brown",0.431625176929469,1.91950967468706e-07,0.662795088784044,2.70246724516787e-18,0.417541948043171,5.18523707385793e-07,0.32479379348805,0.000128730193645087,0.268028767526447,0.00174161473339326,-0.340892730614019,5.56447758350487e-05,-0.104271147200569,0.23053222530171,0.262187749708244,0.00221092526965781,0.378366168099172,6.55610465790272e-06,0.213098960633246,0.0134302023566065,-0.00607705911677605,0.944441492670325,-0.0400659596009191,0.645777152304219,0.000217767813746224,0.998007502650329,-0.102013444208376,0.240839789350483,-0.307642913326248,0.000299233506310158,0.0963842972871637,0.267923319452325,-0.0120959361935498,0.889676272139818,0.0261673021346521,0.764084112002557,-0.156197256865399,0.0715055742785808,0.132940058928223,0.12570017226361
"MMT00027763","MMT00027763","Slc38a2",67760,"brown",-0.430676811204126,2.05528273793977e-07,-0.627752990997816,4.76313803934007e-16,-0.524845468237169,7.52762726737521e-11,-0.248536203296484,0.00378387469406973,-0.518750369829464,1.35524974248169e-10,0.171682734763967,0.0473110272754189,0.0447305830468199,0.607811497570826,0.116912411590158,0.178528942118911,-0.0178566821415941,0.837739473949355,-0.143965926693872,0.0970009687282418,0.0191312480572102,0.826334182710371,-0.0988348745888671,0.255888768082657,0.0751268700871495,0.388286511143732,0.119157079714674,0.170277937182677,0.0977345424120711,0.261245663714445,0.0852921406883828,0.327152797037434,0.100443894924463,0.248192003774503,0.0635149414795097,0.465948433984829,0.0960834135303609,0.269427002906619,-0.173902459046715,0.0444792799399564
"MMT00056798","MMT00056798","2310016C16Rik",69590,"brown",0.428027044811856,2.4849840247566e-07,0.846607744482306,5.69679163272065e-38,0.674845335416757,3.87348839628327e-19,0.262036100039069,0.00222450809115328,0.599332005544968,2.00122427273876e-14,-0.306280030503024,0.000319288988316183,-0.228230308169218,0.00799439936981958,0.0350479276859403,0.687660688730116,0.0719579639152688,0.408667035397613,0.097615766019851,0.261828468888648,0.0132860467641736,0.878900669473549,-0.017213056186357,0.843511870062243,0.00577664702789887,0.947183888010186,-0.183266375498917,0.0340421090061897,0.0487273161585572,0.576088505404222,0.0312219777841976,0.720252136673231,-0.00993305870291265,0.909309904296562,-0.0270664850657223,0.756227332707787,-0.0988214662587825,0.255953588181446,0.0291392044505957,0.738212402186047
"MMT00062460","MMT00062460","Ntf3",18205,"brown",-0.427541927229551,2.57242579202652e-07,-0.647795779099603,2.6858560563947e-17,-0.352479540855769,2.95532099269094e-05,-0.298344707925926,0.000462955181889294,-0.335175140826306,7.53530543529504e-05,0.21171249077592,0.0140613387491075,-0.0179156750113231,0.837210819804859,-0.0858567575079851,0.323948918559271,-0.244276905570315,0.00444894458793055,-0.150607787249927,0.0823871884787928,0.0710547075104766,0.414589529178072,-0.00614532898415931,0.943818361794189,0.0473061274689651,0.587280113269899,0.0591844959040475,0.496955828169093,0.313113103645578,0.000229908224416316,0.020580411898357,0.813410518718216,0.135997633927389,0.117155308848953,0.123001760112054,0.156807317947857,0.037353115323722,0.668292792381203,-0.16760593553311,0.0529022217018041
"MMT00063470","MMT00063470","Agxt",11611,"brown",-0.425341860956422,3.00720643834854e-07,-0.523203227313475,8.83000846666818e-11,-0.527269160502351,5.93878167443534e-11,-0.228481639919722,0.00792363193578521,-0.433017228728266,1.7356356515625e-07,0.258236334432484,0.00259049479875686,0.299333111772552,0.000442271899532768,-0.047327896627496,0.587107937086257,-0.0485433863320653,0.577531299573796,-0.103444609789985,0.234269208017738,-0.0523927385229512,0.547692828068975,0.0387229288000052,0.656885350359108,-0.0682085566043806,0.433576318445175,0.125734730034825,0.147728856725793,-0.187470497642941,0.0300776736604372,0.0236108121246252,0.786550955285791,-0.0867004843096937,0.319199039967817,-0.162758497235944,0.0602494585615762,0.00105234401458625,0.990371651033348,-0.00657851711910795,0.939865259525491
